tweet,abusive,hateful,offensive,disrespectful,fearful,normal,tweet_cleaned
@user ole fiend lame ass negro lol,1,0,1,0,0,0,ole fiend lame ass negro lol
i'm boutta go shit &amp; say hate puerto rican's. sorry guys let get check i'll turn spic afterwa @url,0,0,1,0,0,0,am boutta go shit amp say hate puerto rican sorry guys let get check will turn spic afterwa
anyone knows cunt please tell world @url,0,0,1,0,0,0,anyone knows cunt please tell world
cannot believe i'm sluttyjock wrote sharing teamviewer password. really faggot? haha. pr @url,0,1,0,0,0,0,can not believe am sluttyjock wrote sharing teamviewer password really faggot haha pr
antis: bts look like girls ching chong (plus racist shit),0,0,1,0,0,0,antis bts look like girls ching chong plus racist shit
currently looking across room fucking retard @user,0,0,1,0,0,0,currently looking across room fucking retard
get they're dead communist literally retard mode,0,0,1,0,0,0,get they are dead communist literally retard mode
@user hilarious want competition problem illegal aliens taking jobs priv @url,0,0,1,0,0,0,hilarious want competition problem illegal aliens taking jobs priv
@user yeah that's pretty retarded take,0,0,1,0,0,0,yeah that is pretty retarded take
@user spot ....... chris say anything reaction' sutton ... he's quite soup-taker yet g @url,0,0,0,1,0,1,spot chris say anything reaction sutton he is quite soup taker yet
@user @user @user mongol always spot teams,0,0,1,0,0,0,mongol always spot teams
first class mongy cunt think back decisions i've made past,1,1,0,0,0,0,class mongy cunt think back decisions have made past
@user @user thank u spic,0,1,0,0,0,0,thank spic
wonder immigrants r welcome?,0,0,1,0,0,0,wonder immigrants welcome
men fucking retarded,0,0,1,0,0,0,men fucking retarded
dave galactic faggot,1,1,1,1,1,0,dave galactic faggot
@user @user @user first thought leftist muslim terrorist. wrong. nee @url,0,0,1,0,0,0,thought leftist muslim terrorist wrong nee
kid begged life please kill me. i'll anything. i'm sorry called spic @url,0,0,0,1,1,0,kid begged life please kill me will anything am sorry called spic
@user let keep look like retard lmao,0,1,0,0,0,0,let keep look like retard lmao
thoughts allen _ baby boy!!!!! he's cool better sa guitar pero sa vocals hinde mongoloid siya. h @url,0,1,0,0,0,0,thoughts allen baby boy he is cool better sa guitar pero sa vocals hinde mongoloid siya
lobbies childhood ni've called wetback spic many times. @url,0,1,0,0,0,0,lobbies childhood nive called wetback spic many times
@user @user he's fucking racist attention seeking cunt.,0,0,1,0,0,0,he is fucking racist attention seeking cunt
hate fucjing stupids ass fu king hick town man c nights fu king retarded still canes whole ass goinitxh,1,0,0,1,0,0,hate fucjing stupids ass fu king hick town man nights fu king retarded still canes whole ass goinitxh
instead saying immigrants threat national security need acknowledge plenty @url,0,0,0,1,0,1,instead saying immigrants threat national security need acknowledge plenty
banter codeword cunt.,0,1,0,0,0,1,banter codeword cunt
who's serving today faggot #findom,1,1,1,1,0,1,who is serving today faggot findom
@user @user hang cunt throw bricks slowly chokes death.,0,0,0,0,0,1,hang cunt throw bricks slowly chokes death
@user cunt @url,0,1,0,0,0,0,cunt
know meaning word  respect country turned shithole @url,0,0,1,0,0,0,know meaning word respect country turned shithole
guys @user lecturing us acute body types skull shapes....mongoloid?!?!? like shut f bro!!!,0,1,1,0,0,0,guys lecturing us acute body types skull shapes mongoloid like shut bro
f-you dipshit. atleast apologizes. isnt enough low self esteem cunt like younnagain. i'm sorry cat. @url,0,1,0,0,0,0,you dipshit atleast apologizes is nt enough low self esteem cunt like younnagain am sorry cat
anime stans calling bts ching chong ?????? fuck selective racism??????? shit add,0,0,1,0,0,0,anime stans calling bts ching chong fuck selective racism shit add
guy needs control alt delete self fuckin dirtyyy arrogant uneducated cunt wow @url,0,0,1,0,0,0,guy needs control alt delete self fuckin dirtyy arrogant uneducated cunt wow
@user smell like farted arted ab honor roll f's retarded,0,0,1,0,0,0,smell like farted arted ab honor roll retarded
hi everyone letting know okay white #auspol,0,0,0,0,0,1,hi everyone letting know okay white auspol
axl retarded movie ive ever seen far - story,0,0,1,0,0,1,axl retarded movie ve ever seen far story
cuz walk around like nigga finger trigger nigger want smoke ill aim liver (boom) @url,0,0,1,0,0,0,cuz walk around like nigga finger trigger nigger want smoke ill aim liver boom
@user jesus raghead...,0,1,1,1,1,1,jesus raghead
brain day: potato potato ching chong tomato,0,0,1,0,0,0,brain day potato potato ching chong tomato
criss cross arm dance little white boys love new way calling someone faggot,0,0,0,0,0,1,criss cross arm dance little white boys love new way calling someone faggot
@user wait shithole countries? thought left believed people cultures countries equ @url,0,0,1,0,0,0,wait shithole countries thought left believed people cultures countries equ
hate word nigger nigga else inappropriate behavior described nigga behaviour @url,0,0,1,0,1,0,hate word nigger nigga else inappropriate behavior described nigga behaviour
#swedish feminist (they retarded dangerous)nnin 2017 7200 rapes reported police @url,0,0,1,0,0,0,swedish feminist they retarded dangerousnnin rapes reported police
must real shithole country carry arms religious ceremony @user,0,0,1,0,0,0,must real shithole country carry arms religious ceremony
@user he's right retard.,0,0,1,0,0,0,he is right retard
people go instant retard told firmly leave?,0,0,0,0,0,1,people go instant retard told firmly leave
tired seeing retarded egirl tl thanks,0,0,1,0,0,0,tired seeing retarded egirl tl thanks
faggot scene grand budapest hotel probably hardest i've laughed movie,0,0,1,0,0,0,faggot scene grand budapest hotel probably hardest have laughed movie
@user @user @user @user twat.,0,1,1,0,0,0,twat
sabrina called flamboyant faggot sooooo @url,0,0,1,0,0,0,sabrina called flamboyant faggot soo
wow @user face tonight looked like got shit retarded hippopotamus got ran @url,0,0,1,0,0,0,wow face tonight looked like got shit retarded hippopotamus got ran
probably retard facedoxxing considering cannot contain disdain j*ws,0,1,1,1,1,1,probably retard facedoxxing considering can not contain disdain jws
@user soulless fucking twat.,0,1,0,0,0,0,soulless fucking twat
friend's boyfriend asked ching chong real word...no dipshit stereotype wtf ?????,0,0,0,0,0,1,friend boyfriend asked ching chong real word no dipshit stereotype wtf
@user @user fuck retard,0,0,1,0,0,0,fuck retard
need @user tell i'm twat right here!,0,0,1,0,0,0,need tell am twat right here
@user @user im chinaman vietcong,0,0,1,1,0,0,chinaman vietcong
wowpresents really taking faggot claws,0,0,1,0,0,0,wowpresents really taking faggot claws
#dagga #marijuana #weed #cannabis #southafrica #africa @url,0,0,1,0,0,0,dagga marijuana weed cannabis southafrica africa
negro aint bars idk @url,0,1,1,1,1,1,negro ai nt bars idk
@user dont speak ching chong chung language,1,0,1,0,0,0,do nt speak ching chong chung language
yeah would def call spic @url,0,0,1,0,0,0,yeah would def call spic
dems taken america far socialist nwo pc shithole we're havin' re-litigate basic common sense @url,0,0,1,0,0,0,dems taken america far socialist nwo pc shithole we are havin re litigate basic common sense
@user lool obviously heard australia &amp; canada first-generation immigrants become mps @url,0,0,1,0,0,1,lool obviously heard australia amp canada generation immigrants become mps
@user early gab awesome maga sad see whole thing wither die one giant retard moshpit cringe.,0,0,1,0,0,0,early gab awesome maga sad see whole thing wither die giant retard moshpit cringe
@user i'm glad read silly spic like ever attain hold entry level jobs swing ham @url,0,0,1,0,1,0,am glad read silly spic like ever attain hold entry level jobs swing ham
@user im retard,0,0,1,0,0,0,retard
literally @user asian representation queen!! got ching chong cho chang demonised cry baby bitch @url,1,1,0,0,0,0,literally asian representation queen got ching chong cho chang demonised cry baby bitch
@user @user american innocent proven guilty. let illegal immigrants go @url,0,0,1,0,0,0,american innocent proven guilty let illegal immigrants go
3. food bank director separated requests 2 stacks: locals &amp; immigrants. church respond? 1 @url,0,0,0,0,1,1,food bank director separated requests stacks locals amp immigrants church respond
saddest anime cus he's retarded,1,0,1,1,1,1,saddest anime cus he is retarded
@user @user @user yes politically motivated terrorist white.... leftist,0,0,1,0,0,0,yes politically motivated terrorist white leftist
@user trump never called middle east shithole countries. another lie. went saudi arabia love @url,0,0,1,0,0,0,trump never called middle east shithole countries another lie went saudi arabia love
there's kib there's aljun there's brandon there's balti there's encho there's dyke goise,0,0,1,0,0,0,there is kib there is aljun there is brandon there is balti there is encho there is dyke goise
@user retweet buzzfeed news pretend retard. mean hey good bit(my bit @url,0,1,1,0,0,0,retweet buzzfeed news pretend retard mean hey good bitmy bit
@user mentally retard @user come lies highest order like mentally challanged boss pappu,0,0,1,0,0,0,mentally retard come lies highest order like mentally challanged boss pappu
@user excuse me? fuck illegal aliens think are? #sendthemback,0,0,1,0,0,0,excuse me fuck illegal aliens think are sendthemback
never let ching chong nails,0,0,0,0,0,1,never let ching chong nails
@user they're hard know ching chong,0,0,1,0,0,0,they are hard know ching chong
@user going blind twat roofe get chest leg used h @url,0,1,0,0,0,0,going blind twat roofe get chest leg used
rt/like ramuda gc n- appreciate pink gremlins 24/7 n- scabby cunt ok nice pl @url,0,0,0,0,0,1,rt like ramuda gc appreciate pink gremlins scabby cunt ok nice pl
@user @user i'm jump tonight need talk sick cunt,0,0,1,0,0,0,am jump tonight need talk sick cunt
@user  boy bout retarded,0,0,1,0,0,0,boy bout retarded
@user @user come change america shithole country fleeing from? may @url,0,1,0,1,0,0,come change america shithole country fleeing from may
@user feminazi detected,0,0,1,0,0,0,feminazi detected
believe obligation stand immigrants state. -@user #ilgovforum,0,0,0,0,0,1,believe obligation stand immigrants state user ilgovforum
@user many  absolute retard,0,0,1,0,0,0,many absolute retard
@user jackson dont tweet weed faggot ruins lives terrible gay drinking cool,0,0,1,0,0,0,jackson do nt tweet weed faggot ruins lives terrible gay drinking cool
@user yup sound quality retarded. bass great bass much. po @url,1,0,1,0,0,0,yup sound quality retarded bass great bass much po
@user @user lmaoooo armo spic,0,1,1,0,0,0,lmaoo armo spic
@user back 70's taught correct term retarded bad word mongoloid. changed.,0,0,1,0,0,0,back taught correct term retarded bad word mongoloid changed
@user reread shit illiterate twat,0,0,1,0,0,0,reread shit illiterate twat
dangerous cunt. @url,0,0,0,1,1,0,dangerous cunt
illegal immigrants could big trouble.,0,0,0,0,0,1,illegal immigrants could big trouble
twat probably right #lufc @url,0,0,1,0,0,0,twat probably right lufc
absolute cunt  @url,0,0,1,0,0,0,absolute cunt
@user yeah baby mongy,0,0,1,0,0,0,yeah baby mongy
doesnt right? negro default,0,1,1,1,1,1,does nt right negro default
illegal aliens need shipped home!,0,0,0,0,0,1,illegal aliens need shipped home
@user @user @user @user @user apologize calling raghead.,0,0,1,0,0,0,apologize calling raghead
trump fucking twat! @url,0,0,1,0,0,0,trump fucking twat
look mongoloid. two f*cking years later he's cracked it. real f*cking alfred eimstime @url,1,1,1,1,0,1,look mongoloid fcking years later he is cracked it real fcking alfred eimstime
@user faggot,0,0,1,0,0,0,faggot
@user @user @user type behavior common elections 3rd-world shithole countries.,0,0,1,0,0,0,type behavior common elections world shithole countries
feel edgy saying retard every 2 seconds integrated deeply vocabulary can't help,0,0,0,0,0,1,feel edgy saying retard every seconds integrated deeply vocabulary can not help
africa shithole full africans. south america ditto. arab countries fare better due oil @url,0,0,0,0,0,1,africa shithole full africans south america ditto arab countries fare better due oil
someone pls tell 12 year old called ching chong bitch today looked funny wearing grill. hate sb much,0,0,0,0,0,1,someone pls tell year old called ching chong bitch today looked funny wearing grill hate sb much
@user @user @user generally use term retard using words @url,0,1,1,0,0,0,generally use term retard using words
that's retarded! cute single. _ that's life. @url,0,0,1,0,0,0,that is retarded cute single that is life
@user mexican spic dora,0,1,0,1,0,0,mexican spic dora
song happy shiny people u3 renamed awesome retarded pups.,1,0,0,1,0,0,song happy shiny people renamed awesome retarded pups
peanut butter m&amp;ms say faggot,0,0,1,0,0,0,peanut butter mampms say faggot
@user yes! idc nobody says negro dope!!,0,0,1,0,0,0,yes idc nobody says negro dope
thats negro right,0,0,1,0,0,0,that negro right
@user see negro ye still halfway sunken place smh,0,0,1,0,0,0,see negro ye still halfway sunken place smh
@user another twat talking  thinking know everything lol @user probably knows mot @url,0,0,1,0,0,0,another twat talking thinking know everything lol probably knows mot
@user can't honestly asshole you? shithole countries past italy @url,0,1,0,0,0,0,can not honestly asshole you shithole countries past italy
@user oooh noooo high pitch ching chong songs,0,0,1,0,0,0,ooh noo high pitch ching chong songs
@user @user @user religion twat x @url,0,0,1,0,0,0,religion twat
@user love way holds mongy lipped twat,1,0,1,0,0,0,love way holds mongy lipped twat
@user @user @user @user say tag right denilson spic,1,1,1,1,1,0,say tag right denilson spic
@user gebby miss mongol japon ka?,1,0,0,0,0,1,gebby miss mongol japon ka
@user qs s'est comme merkel et tous les autres en europe aime les migrants hommes seulement pour venir c @url,0,0,0,0,0,1,qs sest comme merkel et tous les autres en europe aime les migrants hommes seulement pour venir
@user deadass like need something new. call nigger tell cheatin,0,0,1,0,0,0,deadass like need something new call nigger tell cheatin
@user i'd rather kevin feige call faggot face even thought,0,1,0,0,0,0,would rather kevin feige call faggot face even thought
bn#breaking: authorities #arrested #man connected #suspiciouspackages containing @url,0,0,0,0,0,1,bnbreaking authorities arrested man connected suspiciouspackages containing
hate every cunt planet swear,1,1,1,1,1,0,hate every cunt planet swear
ta said wanted chinese food girl kept repating ching chong told racist said @url,0,0,1,0,0,0,ta said wanted chinese food girl kept repating ching chong told racist said
last certainly least happy birthday @user kr thanks mongy xxx @url,0,0,0,1,1,0,last certainly least happy birthday kr thanks mongy xx
translation: imagine him? simply: like gay man faggot jew kyke. that's world.,0,0,1,0,0,0,translation imagine him simply like gay man faggot jew kyke that is world
gronk tide pod commercial retarded ,0,0,1,0,0,0,gronk tide pod commercial retarded
@user @user ah.nthe shithole countries.nyou're well-trained parrot.ni bet adore @url,0,0,1,0,0,0,ahnthe shithole countriesnyoure well trained bet adore
good job nbc! sterling performance country's shithole media. @url @url,0,1,0,0,0,0,good job nbc sterling performance country shithole media
relatively respected &amp; trusted country turned total shithole need larger populate @url,0,0,0,0,0,1,relatively respected amp trusted country turned total shithole need larger populate
keep mind.. call faggot spanish mean can't still understand you.,0,0,1,0,0,0,keep mind call faggot spanish mean can not still understand you
he's right... lets kick every alt-right retard da balls... got noth'n anything. nfree shot @url,1,1,0,1,1,1,he is right lets kick every alt right retard da balls got nothn anything nfree shot
yesterday kfc first time let tell you. straight die giving spicy f @url,0,0,0,0,0,1,yesterday kfc time let tell you straight die giving spicy
cause money connects mean guilty trick ass bitch. become cunt n @url,0,0,0,0,0,1,cause money connects mean guilty trick ass bitch become cunt
@user funny anywhere stfu retard,0,1,0,0,0,0,funny anywhere stfu retard
remember nothing us retarded.,0,0,1,1,0,0,remember nothing us retarded
horrible little cunt @url,0,0,1,0,0,0,horrible little cunt
stephen fletcher fucking cunt,0,0,1,0,0,0,stephen fletcher fucking cunt
mongo mongol monday trying prove point,0,0,1,0,0,0,mongo mongol monday trying prove point
@user white nationalist say heritage okay white difference meaning them.,0,0,1,0,0,0,white nationalist say heritage okay white difference meaning them
serve mongol? lager? white sausage? #yaxley #lennon @url,0,0,1,0,0,0,serve mongol lager white sausage yaxley lennon
youre still nigger @url,0,0,1,0,0,0,you re still nigger
finally faggot,1,0,1,1,1,1,finally faggot
@user @user guess call dirty jew that's step right direction,0,0,1,0,0,0,guess call dirty jew that is step right direction
@user nyc shithole country god quickly destroyed wheat rudy build shameless,1,1,1,1,0,1,nyc shithole country god quickly destroyed wheat rudy build shameless
confidence ugly mongoloid like really what's wrong,0,0,1,0,0,0,confidence ugly mongoloid like really what is wrong
twat? @url,0,0,0,0,1,1,twat
@user ching chong nip nong lady.,0,1,1,0,0,0,ching chong nip nong lady
@user @user send refugees back! send illegal alixns back. hostile peop @url,0,1,0,0,0,1,send refugees back send illegal alixns back hostile peop
forms dumbest fucking spic i've ever met,0,0,1,0,0,0,forms dumbest fucking spic have ever met
fact: boyfriend cunt mates allow even bigger cunt.,1,1,1,0,1,1,fact boyfriend cunt mates allow even bigger cunt
pretty much made say retard every,0,0,1,0,0,0,pretty much made say retard every
@user faggot still @url,0,1,0,0,0,0,faggot still
@user wrote brain cells retard fucking blind lmfao i'm done,0,0,1,0,0,0,wrote brain cells retard fucking blind lmfao am done
@user oh nice. mob angry feminazi democratic women. can't stand decent conservative @url,0,1,1,0,0,0,oh nice mob angry feminazi democratic women can not stand decent conservative
added video @user playlist @url kid goes full retard drops coin sewer ,0,0,1,0,0,0,added video playlist kid goes full retard drops coin sewer
@user bout get called spic brb,0,1,0,0,1,0,bout get called spic brb
casuallyfantastic2001: realisticrecovery: anyway abusive women bad abusive men. shameful... @url,0,1,0,0,0,0,casuallyfantastic realisticrecovery anyway abusive women bad abusive men shameful
@user -retard highest horses flinging insults like chimpanzee flinging shit,0,0,1,0,0,0,retard highest horses flinging insults like chimpanzee flinging shit
@user @user @user @user @user obvious ching chong. suppose abuse animal something,1,0,1,0,0,0,obvious ching chong suppose abuse animal something
@user @user f*** would retard block create ultimate account harass you? retard,0,0,1,0,0,0,would retard block create ultimate account harass you retard
@user hey hey hey. watch it. got spic kids. . nn(no offense @user @user dads racist bastard).,1,0,1,0,0,0,hey hey hey watch it got spic kids nno offense dads racist bastard
one irls chinese whenever educates girl say ching chong shit girl goes @url,0,0,0,0,0,1,irls chinese whenever educates girl say ching chong shit girl goes
said something shithole countries? mean sending pipe bombs political opponents happens shith @url,0,0,1,0,0,0,said something shithole countries mean sending pipe bombs political opponents happens shith
@user good job tho honestly. retarded friends terrible play with.,1,1,1,1,1,0,good job tho honestly retarded friends terrible play with
would automatic car 1911 total fucking mongoloid?! #thechase @url,1,1,1,0,1,1,would automatic car total fucking mongoloid thechase
talk according cristiano challenge:nkoke:you're faggotncristiano:i'm billionaire @url,0,0,1,1,0,0,talk according cristiano challenge nkoke youre faggotncristiano im billionaire
@user look like said faggot shit like dat,0,1,0,1,0,0,look like said faggot shit like dat
@user dm fucking retard,0,0,1,0,0,0,dm fucking retard
@user @user leftist little research &amp; stop told think left @url,0,0,1,0,0,0,leftist little research amp stop told think left
david laid unnatural looking cunt world,0,0,0,0,0,1,david laid unnatural looking cunt world
stoplight minute turned green guy next flicked called spic @url,0,0,1,0,0,0,stoplight minute turned green guy next flicked called spic
cunt punting pussies tongues 2019fuck free world!!! wanna build snowman!?!? @url,0,0,1,0,0,1,cunt punting pussies tongues fuck free world wanna build snowman
@user conveniently forget shithole countries  bad hombres on? man jekyl @url,0,1,0,0,0,0,conveniently forget shithole countries bad hombres on man jekyl
@user @user @user @user @user call chinaman there. see long last,0,0,1,0,0,0,call chinaman there see long last
@user @user ching chong holla wolla give dolla,0,0,1,0,0,0,ching chong holla wolla give dolla
@user still follow twat. see many times retweets ,0,0,1,0,0,0,still follow twat see many times retweets
@user youre gonna die nigger,0,0,1,0,0,0,you re gon na die nigger
julio urias spic,0,0,0,0,0,1,julio urias spic
@user get mate. they're sickening. especially ching chong bastards @url,0,0,1,0,0,0,get mate they are sickening especially ching chong bastards
trump famous insults. shithole countries failing fake news evil democrats criminal immigran @url,0,0,0,0,0,1,trump famous insults shithole countries failing fake news evil democrats criminal immigran
big spic energy. @url,0,1,1,1,0,1,big spic energy
he's accidentally losing series cuz he's retarded @url,0,0,1,0,0,0,he is accidentally losing series cuz he is retarded
make joke incident (leicester's owner).nnyou're sick cunt,1,0,1,0,0,0,make joke incident leicester ownernnyoure sick cunt
@user twat make sure add beans degenerate,1,1,0,0,0,0,twat make sure add beans degenerate
ever complain tinpot dictatorships shithole countries happens greatest' democ @url,0,0,1,0,0,0,ever complain tinpot dictatorships shithole countries happens greatest democ
@user kana ne ole le nigger,0,1,0,0,0,0,kana ne ole le nigger
@user @user @user tweet 14th december allardyce manager mongoloid,0,0,0,0,0,1,tweet december allardyce manager mongoloid
@user @user pretty much hes little dick faggot needs ass beat reality check ain't shit,0,1,1,0,0,0,pretty much he little dick faggot needs ass beat reality check is not shit
@user @user dealing 3rd world shithole countries?,0,0,1,0,0,0,dealing world shithole countries
@user nigger = mayate,0,0,1,0,0,1,nigger mayate
im racist much despise word nigger hilarious,0,0,1,0,0,0,racist much despise word nigger hilarious
@user @user @user @user i'll nigger voting democrat 200 years,0,0,1,0,0,0,will nigger voting democrat years
eenie meenie mine mo catch nigger toe. hollers make pay twenty dollars every day.,0,0,0,0,0,1,eenie meenie mine mo catch nigger toe hollers make pay dollars every day
@user learn use comma twat!,0,0,1,0,0,0,learn use comma twat
@user abysmal.n hope finds way one trump'sshithole countries. oopps forgot loves saudi.,0,1,0,1,0,0,abysmaln hope finds way trumpsshithole countries oopps forgot loves saudi
@user lol speak hazara(mongol) people nothing ethnic afghans (nor genetical @url,0,1,0,0,0,0,lol speak hazaramongol people nothing ethnic afghans nor genetical
@user crazy people get offended words though. could give zero shits someone called spic @url,0,0,1,0,0,0,crazy people get offended words though could give shits someone called spic
fukk kanye faggot ass nigga. @url,0,1,0,0,0,1,fukk kanye faggot ass nigga
@user @user open mongol,0,1,1,0,0,0,open mongol
@user better call mongy retards ,0,0,1,0,0,0,better call mongy retards
next yall. gop gonna ching chong ding dong 2024 @url,0,0,1,0,0,0,next all gop gon na ching chong ding dong
coach fucking retard. @user,0,0,0,0,0,1,coach fucking retard
two types chinaman bowlers. one kuldeep rest others. kuldeep miles ahead others,0,0,1,0,0,0,types chinaman bowlers kuldeep rest others kuldeep miles ahead others
@user tired listening shithole democrats hatred country. doin @url,1,0,0,0,1,0,tired listening shithole democrats hatred country doin
egg also meet specific measurement device good luck retard,1,0,0,1,0,0,egg also meet specific measurement device good luck retard
@user apart 5mrncheckmate retard,0,0,1,0,0,0,apart mrncheckmate retard
@user talkin likes negro big niggas chicken waffles lives least fam,0,0,1,0,0,0,talkin likes negro big niggas chicken waffles lives least fam
@user full twat,0,0,1,0,0,0,full twat
negro got sample deposition album!,0,0,1,0,0,0,negro got sample deposition album
cunt wrong society @user @user get format fucking disgrace @url,0,0,1,0,0,0,cunt wrong society get format fucking disgrace
@user tweety bird live nest mongoloid watch show,0,0,1,0,0,0,tweety bird live nest mongoloid watch show
@user left guy expecting us work left faggot,0,0,1,0,0,0,left guy expecting us work left faggot
shithole countries would caravan countries.,0,1,1,1,1,1,shithole countries would caravan countries
unfollow horrible cunt @url,0,0,1,0,0,0,unfollow horrible cunt
@user know related @user retarded steven. stay wall bruh!!,0,1,0,0,0,0,know related retarded steven stay wall bruh
@user never go full retard,1,0,1,1,0,1,never go full retard
@user goal dnc... import addict immigrants towelfare programs order guarantee @url,0,0,0,0,0,1,goal dnc import addict immigrants towelfare programs order guarantee
first all:nhip-hop mama spic n spannmet one summernand begannnthat first line... that's problemati @url,0,0,0,0,0,1,all nhip hop mama spic spannmet summernand begannthat line that is problemati
mitch mcconnell affair shithole countries!,0,0,1,1,0,0,mitch mcconnell affair shithole countries
bro friend retarded af  #cameltoe @url,0,0,1,0,0,0,bro friend retarded af cameltoe
@user lmao how? ching chong culture?,0,1,0,0,0,0,lmao how ching chong culture
trump complete idiotic twat. @url,0,0,1,0,0,0,trump complete idiotic twat
/ chin chin; i'm surprised could even get gfnnamanda: yeah well fuck u u fucking burnt turd faggot we've almos @url,0,0,1,0,0,0,chin chin am surprised could even get gfnnamanda yeah well fuck fucking burnt turd faggot we have almos
@user deadass! stay getting ching chong music people like... come w sumn else? l @url,1,0,1,0,0,0,deadass stay getting ching chong music people like come sumn else
stop retweeting telling people stupid guys name made retarded statement twitch con. idk @url,0,0,1,0,0,0,stop retweeting telling people stupid guys name made retarded statement twitch con idk
@user sorry hear experience deepika :( try best keep aircraft spic span b @url,0,0,1,0,0,0,sorry hear experience deepika try best keep aircraft spic span
@user long retard ,0,0,1,0,0,0,long retard
(2/2) like fucking twat i'm damage heal you. ran biotic energy. gu @url,0,1,0,0,0,0,like fucking twat am damage heal you ran biotic energy gu
@user leave mongoloid manager boston please.,1,0,1,0,0,0,leave mongoloid manager boston please
@user bitch though. went full retard. @url,0,0,1,0,0,0,bitch though went full retard
@user feminazi review check !,1,0,0,0,0,1,feminazi review check
@user sion titanic hydra steraks demolition mastery retarded broken virtually unb @url,0,0,1,0,0,0,sion titanic hydra steraks demolition mastery retarded broken virtually unb
@user hes literal twat hey? tried justify twitter toonthis guy went twitchcon @url,0,1,0,0,0,0,he literal twat hey tried justify twitter toonthis guy went twitchcon
great example though disagree immigrants leave anything behind. thats whats great america - c @url,1,0,0,0,1,0,great example though disagree immigrants leave anything behind that what great america
@user fuck that's one sick cunt,0,0,1,0,0,0,fuck that is sick cunt
dyke sister getting dragged tsr comments be. @url,1,1,1,0,1,1,dyke sister getting dragged tsr comments be
coupe retarded @url,0,0,1,0,0,0,coupe retarded
@user @user honduras guatemala??? would considered shithole countries well?,0,0,1,0,0,0,honduras guatemala would considered shithole countries well
..... swaggy retard,0,0,1,0,0,0,swaggy retard
@user fuck. okay white proud.,0,0,0,0,0,1,fuck okay white proud
@user murican tiping tradition like aint u already getting paid retard?,0,0,1,0,0,0,murican tiping tradition like ai nt already getting paid retard
clearly he's retarded @url,0,0,1,0,0,0,clearly he is retarded
nicki's powerful! call c*rdi tell retarded is!  @url,0,0,1,0,0,0,nicki powerful call crdi tell retarded is
@user right versus obama's apologetic sneaky leftist robin hood view. fact obama gen @url,0,0,1,0,0,1,right versus obama apologetic sneaky leftist robin hood view fact obama gen
kill cunt!! @url,0,1,0,0,0,0,kill cunt
nigger chip kelly ruined everything @url,0,1,0,0,0,0,nigger chip kelly ruined everything
@user twat,0,0,1,1,0,0,twat
@user ok recant statements yesterday due retard basically said backup qb @url,0,0,1,1,0,0,ok recant statements yesterday due retard basically said backup qb
found yet another liberal retard.  @url,0,0,1,0,0,0,found yet another liberal retard
@user yeah speak bit japanese ching chong bing bong egg rice he's fucking gone search,0,0,1,0,0,0,yeah speak bit japanese ching chong bing bong egg rice he is fucking gone search
3 people shot armed police officers dumb twat @url,1,0,1,0,0,0,people shot armed police officers dumb twat
baby daddy retarded bitch,0,0,1,0,0,0,baby daddy retarded bitch
patronised faggot i'll smoke u like weed,1,1,1,1,0,1,patronised faggot will smoke like weed
@user @user fucking cunt,0,0,1,0,0,0,fucking cunt
@user one attention seeking cunt.,0,0,1,0,0,0,attention seeking cunt
@user @user stop shit jewish blood hands retard.nnred hats = blac @url,0,0,1,0,0,0,stop shit jewish blood hands retardnnred hats blac
@user @user @user @user @user wife gorgeous. patty damn sexy tired twat.,0,0,1,0,0,0,wife gorgeous patty damn sexy tired twat
one right come country shithole wont stand corrupt @url,0,0,1,1,0,0,right come country shithole wo nt stand corrupt
@user wrong retard. assume murder rate would significantly change whites blacks @url,0,0,1,0,0,0,wrong retard assume murder rate would significantly change whites blacks
fucking retarded,0,0,1,0,0,0,fucking retarded
palestinian terrorist leftist mean liberal terrorist? @url,0,1,0,0,0,0,palestinian terrorist leftist mean liberal terrorist
@user n gigantic retard try guide mental troubles make look somewhat normal #makeawish,0,0,1,0,0,0,gigantic retard try guide mental troubles make look somewhat normal makeawish
left incisor can't faggot #kek,0,0,1,0,0,0,left incisor can not faggot kek
shut fuck faggot @url,0,0,1,0,0,0,shut fuck faggot
fuentes retard lol made #yiannibol gang,0,0,1,0,0,0,fuentes retard lol made yiannibol gang
@user @user okay white country created whites.,0,0,1,1,0,0,okay white country created whites
nigga dang retarded!  @url,1,0,0,0,1,0,nigga dang retarded
supposed deter giving one lmfaoo....and @user nigger capitalizing sentence using @url,0,0,1,0,0,0,supposed deter giving lmfaoo and nigger capitalizing sentence using
@user wish well twat!,0,0,1,0,0,0,wish well twat
faggot sjdjdn @url,1,0,1,0,0,0,faggot sjdjdn
dude straight cunt. @url,0,0,1,0,0,0,dude straight cunt
@user @user leave uk wildlife alone go back come kill animals &amp; wildlife. @url,1,0,1,1,1,1,leave uk wildlife alone go back come kill animals amp wildlife
bakugan spic picture,1,1,1,0,1,1,bakugan spic picture
peel ass back monkey style faggot,0,1,0,0,1,0,peel ass back monkey style faggot
lol dva eat stuff kill someone retard _ yes i'm bad. @url,0,1,1,0,0,0,lol dva eat stuff kill someone retard yes am bad
call faggot tranny want cameron kai we're trans gay @url,0,1,0,0,0,0,call faggot tranny want cameron kai we are trans gay
keep mind im negro open mind got screen door #carterv,0,0,1,0,0,0,keep mind negro open mind got screen door carterv
